correctionTimer ; 224.713 ; 2.67516 ; setSolutionTimer ; 10.4348 ; 0.124224 ; cycleWatch ; 9890.72 ; 706.48 ; setupWatch ; 120.449 ; 120.449 ; restrictionTimer ; 730.419 ; 8.69547 ; preSmoothTimer ; 2698.74 ; 32.1279 ; upResidualTimer ; 1248.85 ; 14.8673 ; postSmoothTimer ; 2693.51 ; 32.0656 ; commTimer ; 6545.46 ; 6.91909 ; timeToSolveWatch ; 10130 ; 10130 ;
correctionTimer ; 228.591 ; 2.72132 ; setSolutionTimer ; 11.6484 ; 0.138671 ; cycleWatch ; 9902.45 ; 707.318 ; setupWatch ; 118.002 ; 118.002 ; restrictionTimer ; 736.173 ; 8.76396 ; preSmoothTimer ; 2718.43 ; 32.3622 ; upResidualTimer ; 1250.08 ; 14.8819 ; postSmoothTimer ; 2692.24 ; 32.0505 ; commTimer ; 6681.96 ; 7.06339 ; timeToSolveWatch ; 10129.6 ; 10129.6 ;
correctionTimer ; 228.642 ; 2.72192 ; setSolutionTimer ; 10.4927 ; 0.124913 ; cycleWatch ; 9904.63 ; 707.474 ; setupWatch ; 118.738 ; 118.738 ; restrictionTimer ; 735.464 ; 8.75553 ; preSmoothTimer ; 2716.44 ; 32.3385 ; upResidualTimer ; 1253.85 ; 14.9268 ; postSmoothTimer ; 2694.83 ; 32.0813 ; commTimer ; 6730.2 ; 7.11437 ; timeToSolveWatch ; 10129.6 ; 10129.6 ;
correctionTimer ; 231.016 ; 2.75019 ; setSolutionTimer ; 11.4493 ; 0.136302 ; cycleWatch ; 9910.08 ; 707.863 ; setupWatch ; 118.783 ; 118.783 ; restrictionTimer ; 734.402 ; 8.74288 ; preSmoothTimer ; 2714.64 ; 32.3172 ; upResidualTimer ; 1256.02 ; 14.9526 ; postSmoothTimer ; 2693.53 ; 32.0658 ; commTimer ; 6695.11 ; 7.07728 ; timeToSolveWatch ; 10129.6 ; 10129.6 ;
correctionTimer ; 228.634 ; 2.72184 ; setSolutionTimer ; 10.6571 ; 0.12687 ; cycleWatch ; 9906.22 ; 707.587 ; setupWatch ; 117.715 ; 117.715 ; restrictionTimer ; 736.76 ; 8.77095 ; preSmoothTimer ; 2714.46 ; 32.315 ; upResidualTimer ; 1254.51 ; 14.9346 ; postSmoothTimer ; 2696.19 ; 32.0974 ; commTimer ; 6747.07 ; 7.1322 ; timeToSolveWatch ; 10129.6 ; 10129.6 ;
correctionTimer ; 230.665 ; 2.74601 ; setSolutionTimer ; 11.5187 ; 0.137127 ; cycleWatch ; 9911.92 ; 707.994 ; setupWatch ; 114.441 ; 114.441 ; restrictionTimer ; 727.546 ; 8.66127 ; preSmoothTimer ; 2719.67 ; 32.377 ; upResidualTimer ; 1257.37 ; 14.9687 ; postSmoothTimer ; 2695.43 ; 32.0885 ; commTimer ; 6712.42 ; 7.09558 ; timeToSolveWatch ; 10129.6 ; 10129.6 ;
correctionTimer ; 228.66 ; 2.72214 ; setSolutionTimer ; 11.0762 ; 0.131859 ; cycleWatch ; 9901.63 ; 707.259 ; setupWatch ; 118.819 ; 118.819 ; restrictionTimer ; 735.769 ; 8.75916 ; preSmoothTimer ; 2719.5 ; 32.375 ; upResidualTimer ; 1249.77 ; 14.8782 ; postSmoothTimer ; 2694.98 ; 32.083 ; commTimer ; 6724.34 ; 7.10819 ; timeToSolveWatch ; 10129.6 ; 10129.6 ;
correctionTimer ; 229.458 ; 2.73164 ; setSolutionTimer ; 11.6758 ; 0.138997 ; cycleWatch ; 9906.44 ; 707.603 ; setupWatch ; 118.819 ; 118.819 ; restrictionTimer ; 726.526 ; 8.64912 ; preSmoothTimer ; 2724.25 ; 32.4316 ; upResidualTimer ; 1253.68 ; 14.9247 ; postSmoothTimer ; 2692.44 ; 32.0529 ; commTimer ; 6697.4 ; 7.0797 ; timeToSolveWatch ; 10129.6 ; 10129.6 ;
correctionTimer ; 228.698 ; 2.72259 ; setSolutionTimer ; 10.5111 ; 0.125132 ; cycleWatch ; 9907.91 ; 707.708 ; setupWatch ; 117.46 ; 117.46 ; restrictionTimer ; 731.792 ; 8.71181 ; preSmoothTimer ; 2727.64 ; 32.4719 ; upResidualTimer ; 1249.33 ; 14.873 ; postSmoothTimer ; 2696.56 ; 32.1019 ; commTimer ; 6742.56 ; 7.12744 ; timeToSolveWatch ; 10129.6 ; 10129.6 ;
correctionTimer ; 230.648 ; 2.74581 ; setSolutionTimer ; 11.6242 ; 0.138384 ; cycleWatch ; 9906.15 ; 707.582 ; setupWatch ; 117.397 ; 117.397 ; restrictionTimer ; 727.72 ; 8.66334 ; preSmoothTimer ; 2728.64 ; 32.4838 ; upResidualTimer ; 1251.8 ; 14.9024 ; postSmoothTimer ; 2689.5 ; 32.0178 ; commTimer ; 6699.66 ; 7.08209 ; timeToSolveWatch ; 10129.6 ; 10129.6 ;
correctionTimer ; 228.641 ; 2.72192 ; setSolutionTimer ; 11.0395 ; 0.131422 ; cycleWatch ; 9906.17 ; 707.584 ; setupWatch ; 118.975 ; 118.975 ; restrictionTimer ; 726.59 ; 8.64988 ; preSmoothTimer ; 2724.67 ; 32.4365 ; upResidualTimer ; 1255.3 ; 14.944 ; postSmoothTimer ; 2694.71 ; 32.0799 ; commTimer ; 6737.56 ; 7.12216 ; timeToSolveWatch ; 10129.6 ; 10129.6 ;
correctionTimer ; 228.579 ; 2.72118 ; setSolutionTimer ; 11.0655 ; 0.131732 ; cycleWatch ; 9905.43 ; 707.53 ; setupWatch ; 118.93 ; 118.93 ; restrictionTimer ; 728.323 ; 8.67051 ; preSmoothTimer ; 2729.93 ; 32.4992 ; upResidualTimer ; 1251.34 ; 14.8969 ; postSmoothTimer ; 2691.09 ; 32.0368 ; commTimer ; 6697.26 ; 7.07956 ; timeToSolveWatch ; 10129.6 ; 10129.6 ;
correctionTimer ; 228.881 ; 2.72478 ; setSolutionTimer ; 10.7079 ; 0.127475 ; cycleWatch ; 9903.67 ; 707.405 ; setupWatch ; 117.58 ; 117.58 ; restrictionTimer ; 729.779 ; 8.68784 ; preSmoothTimer ; 2722.19 ; 32.4071 ; upResidualTimer ; 1255.67 ; 14.9485 ; postSmoothTimer ; 2693.91 ; 32.0704 ; commTimer ; 6727.62 ; 7.11165 ; timeToSolveWatch ; 10129.6 ; 10129.6 ;
correctionTimer ; 230.138 ; 2.73974 ; setSolutionTimer ; 11.1929 ; 0.133249 ; cycleWatch ; 9905.25 ; 707.518 ; setupWatch ; 117.579 ; 117.579 ; restrictionTimer ; 734.236 ; 8.74091 ; preSmoothTimer ; 2720.85 ; 32.3911 ; upResidualTimer ; 1254.2 ; 14.9309 ; postSmoothTimer ; 2691.94 ; 32.0468 ; commTimer ; 6693.28 ; 7.07535 ; timeToSolveWatch ; 10129.6 ; 10129.6 ;
correctionTimer ; 228.635 ; 2.72185 ; setSolutionTimer ; 10.778 ; 0.128309 ; cycleWatch ; 9907.39 ; 707.671 ; setupWatch ; 119.474 ; 119.474 ; restrictionTimer ; 730.569 ; 8.69725 ; preSmoothTimer ; 2724.78 ; 32.4379 ; upResidualTimer ; 1251.94 ; 14.9041 ; postSmoothTimer ; 2698.78 ; 32.1284 ; commTimer ; 6730.54 ; 7.11474 ; timeToSolveWatch ; 10129.6 ; 10129.6 ;
correctionTimer ; 230.136 ; 2.73971 ; setSolutionTimer ; 11.4032 ; 0.135753 ; cycleWatch ; 9911.42 ; 707.958 ; setupWatch ; 119.473 ; 119.473 ; restrictionTimer ; 729.844 ; 8.68862 ; preSmoothTimer ; 2724.87 ; 32.4389 ; upResidualTimer ; 1253.13 ; 14.9182 ; postSmoothTimer ; 2697.8 ; 32.1167 ; commTimer ; 6702.19 ; 7.08477 ; timeToSolveWatch ; 10129.6 ; 10129.6 ;
correctionTimer ; 228.51 ; 2.72036 ; setSolutionTimer ; 11.0703 ; 0.131789 ; cycleWatch ; 9911.12 ; 707.937 ; setupWatch ; 113.693 ; 113.693 ; restrictionTimer ; 731.61 ; 8.70964 ; preSmoothTimer ; 2721.37 ; 32.3972 ; upResidualTimer ; 1250.51 ; 14.887 ; postSmoothTimer ; 2702.62 ; 32.174 ; commTimer ; 6735.16 ; 7.11962 ; timeToSolveWatch ; 10129.6 ; 10129.6 ;
correctionTimer ; 230.048 ; 2.73867 ; setSolutionTimer ; 11.0502 ; 0.131549 ; cycleWatch ; 9916.09 ; 708.292 ; setupWatch ; 120.348 ; 120.348 ; restrictionTimer ; 730.746 ; 8.69936 ; preSmoothTimer ; 2720.56 ; 32.3876 ; upResidualTimer ; 1252.93 ; 14.9159 ; postSmoothTimer ; 2704.92 ; 32.2014 ; commTimer ; 6694.07 ; 7.07619 ; timeToSolveWatch ; 10129.6 ; 10129.6 ;
correctionTimer ; 228.479 ; 2.71999 ; setSolutionTimer ; 10.7513 ; 0.127992 ; cycleWatch ; 9901.49 ; 707.25 ; setupWatch ; 118.619 ; 118.619 ; restrictionTimer ; 730.13 ; 8.69203 ; preSmoothTimer ; 2718.28 ; 32.3605 ; upResidualTimer ; 1251.16 ; 14.8948 ; postSmoothTimer ; 2698.34 ; 32.1231 ; commTimer ; 6765.32 ; 7.15151 ; timeToSolveWatch ; 10129.6 ; 10129.6 ;
correctionTimer ; 230.598 ; 2.74521 ; setSolutionTimer ; 11.1597 ; 0.132854 ; cycleWatch ; 9910.32 ; 707.88 ; setupWatch ; 118.615 ; 118.615 ; restrictionTimer ; 731.251 ; 8.70537 ; preSmoothTimer ; 2719.07 ; 32.3699 ; upResidualTimer ; 1249.95 ; 14.8804 ; postSmoothTimer ; 2701.68 ; 32.1628 ; commTimer ; 6748.54 ; 7.13377 ; timeToSolveWatch ; 10129.6 ; 10129.6 ;
correctionTimer ; 224.454 ; 2.67207 ; setSolutionTimer ; 10.5252 ; 0.1253 ; cycleWatch ; 9883.79 ; 705.985 ; setupWatch ; 118.778 ; 118.778 ; restrictionTimer ; 730.566 ; 8.69721 ; preSmoothTimer ; 2707.65 ; 32.234 ; upResidualTimer ; 1247.45 ; 14.8506 ; postSmoothTimer ; 2686.89 ; 31.9868 ; commTimer ; 6528.78 ; 6.90146 ; timeToSolveWatch ; 10129.6 ; 10129.6 ;
correctionTimer ; 225.615 ; 2.6859 ; setSolutionTimer ; 10.6563 ; 0.12686 ; cycleWatch ; 9890.93 ; 706.495 ; setupWatch ; 116.779 ; 116.779 ; restrictionTimer ; 731.214 ; 8.70493 ; preSmoothTimer ; 2706.58 ; 32.2212 ; upResidualTimer ; 1248.67 ; 14.8652 ; postSmoothTimer ; 2689.01 ; 32.012 ; commTimer ; 6507.59 ; 6.87906 ; timeToSolveWatch ; 10129.6 ; 10129.6 ;
correctionTimer ; 224.46 ; 2.67214 ; setSolutionTimer ; 10.3813 ; 0.123587 ; cycleWatch ; 9903.6 ; 707.4 ; setupWatch ; 120.845 ; 120.845 ; restrictionTimer ; 733.668 ; 8.73415 ; preSmoothTimer ; 2711.37 ; 32.2782 ; upResidualTimer ; 1247.12 ; 14.8467 ; postSmoothTimer ; 2699.72 ; 32.1395 ; commTimer ; 6675.54 ; 7.05659 ; timeToSolveWatch ; 10129.6 ; 10129.6 ;
correctionTimer ; 226.731 ; 2.69918 ; setSolutionTimer ; 10.471 ; 0.124655 ; cycleWatch ; 9907.5 ; 707.678 ; setupWatch ; 114.926 ; 114.926 ; restrictionTimer ; 730.802 ; 8.70003 ; preSmoothTimer ; 2711.29 ; 32.2773 ; upResidualTimer ; 1250.06 ; 14.8817 ; postSmoothTimer ; 2698.69 ; 32.1273 ; commTimer ; 6631.38 ; 7.00991 ; timeToSolveWatch ; 10129.6 ; 10129.6 ;
correctionTimer ; 228.91 ; 2.72512 ; setSolutionTimer ; 10.5857 ; 0.12602 ; cycleWatch ; 9918.82 ; 708.487 ; setupWatch ; 113.468 ; 113.468 ; restrictionTimer ; 733.766 ; 8.73531 ; preSmoothTimer ; 2727.45 ; 32.4697 ; upResidualTimer ; 1246.25 ; 14.8364 ; postSmoothTimer ; 2712.33 ; 32.2896 ; commTimer ; 6897.22 ; 7.29093 ; timeToSolveWatch ; 10129.6 ; 10129.6 ;
correctionTimer ; 229.765 ; 2.7353 ; setSolutionTimer ; 10.7275 ; 0.127708 ; cycleWatch ; 9923.22 ; 708.801 ; setupWatch ; 116.126 ; 116.126 ; restrictionTimer ; 733.089 ; 8.72725 ; preSmoothTimer ; 2726.31 ; 32.4561 ; upResidualTimer ; 1249.63 ; 14.8766 ; postSmoothTimer ; 2711.05 ; 32.2744 ; commTimer ; 6865.8 ; 7.25772 ; timeToSolveWatch ; 10129.6 ; 10129.6 ;
correctionTimer ; 228.258 ; 2.71736 ; setSolutionTimer ; 10.3626 ; 0.123364 ; cycleWatch ; 9914.27 ; 708.162 ; setupWatch ; 118.643 ; 118.643 ; restrictionTimer ; 724.473 ; 8.62468 ; preSmoothTimer ; 2722.18 ; 32.4069 ; upResidualTimer ; 1259.58 ; 14.995 ; postSmoothTimer ; 2709.03 ; 32.2503 ; commTimer ; 6838.17 ; 7.2285 ; timeToSolveWatch ; 10129.6 ; 10129.6 ;
correctionTimer ; 229.472 ; 2.73181 ; setSolutionTimer ; 10.64 ; 0.126666 ; cycleWatch ; 9920.76 ; 708.626 ; setupWatch ; 118.718 ; 118.718 ; restrictionTimer ; 732.122 ; 8.71574 ; preSmoothTimer ; 2728.33 ; 32.4802 ; upResidualTimer ; 1248.17 ; 14.8592 ; postSmoothTimer ; 2708.18 ; 32.2402 ; commTimer ; 6809.75 ; 7.19847 ; timeToSolveWatch ; 10129.6 ; 10129.6 ;
correctionTimer ; 228.909 ; 2.7251 ; setSolutionTimer ; 10.8162 ; 0.128764 ; cycleWatch ; 9907.67 ; 707.691 ; setupWatch ; 115.988 ; 115.988 ; restrictionTimer ; 728.366 ; 8.67103 ; preSmoothTimer ; 2728.62 ; 32.4836 ; upResidualTimer ; 1251.64 ; 14.9004 ; postSmoothTimer ; 2704.84 ; 32.2004 ; commTimer ; 6852.55 ; 7.24371 ; timeToSolveWatch ; 10129.6 ; 10129.6 ;
correctionTimer ; 228.709 ; 2.72272 ; setSolutionTimer ; 11.0931 ; 0.132061 ; cycleWatch ; 9911.26 ; 707.947 ; setupWatch ; 115.887 ; 115.887 ; restrictionTimer ; 731.223 ; 8.70503 ; preSmoothTimer ; 2728.89 ; 32.4867 ; upResidualTimer ; 1250.71 ; 14.8894 ; postSmoothTimer ; 2704.23 ; 32.1932 ; commTimer ; 6821.43 ; 7.21082 ; timeToSolveWatch ; 10129.6 ; 10129.6 ;
correctionTimer ; 228.791 ; 2.7237 ; setSolutionTimer ; 10.6154 ; 0.126374 ; cycleWatch ; 9905.12 ; 707.508 ; setupWatch ; 118.701 ; 118.701 ; restrictionTimer ; 728.857 ; 8.67687 ; preSmoothTimer ; 2729.63 ; 32.4956 ; upResidualTimer ; 1255.21 ; 14.943 ; postSmoothTimer ; 2702.27 ; 32.1699 ; commTimer ; 6852.85 ; 7.24403 ; timeToSolveWatch ; 10129.6 ; 10129.6 ;
correctionTimer ; 228.736 ; 2.72305 ; setSolutionTimer ; 10.7647 ; 0.128152 ; cycleWatch ; 9908.95 ; 707.782 ; setupWatch ; 120.021 ; 120.021 ; restrictionTimer ; 733.145 ; 8.72792 ; preSmoothTimer ; 2731.1 ; 32.5131 ; upResidualTimer ; 1250.09 ; 14.882 ; postSmoothTimer ; 2699.76 ; 32.14 ; commTimer ; 6822.87 ; 7.21233 ; timeToSolveWatch ; 10129.6 ; 10129.6 ;
correctionTimer ; 228.525 ; 2.72053 ; setSolutionTimer ; 10.3436 ; 0.123138 ; cycleWatch ; 9909.05 ; 707.789 ; setupWatch ; 117.03 ; 117.03 ; restrictionTimer ; 734.152 ; 8.7399 ; preSmoothTimer ; 2724.31 ; 32.4323 ; upResidualTimer ; 1254.82 ; 14.9384 ; postSmoothTimer ; 2702.29 ; 32.1701 ; commTimer ; 6845.41 ; 7.23616 ; timeToSolveWatch ; 10129.6 ; 10129.6 ;
correctionTimer ; 229.556 ; 2.73281 ; setSolutionTimer ; 10.8845 ; 0.129577 ; cycleWatch ; 9910.93 ; 707.924 ; setupWatch ; 118.894 ; 118.894 ; restrictionTimer ; 732.72 ; 8.72286 ; preSmoothTimer ; 2728.81 ; 32.4858 ; upResidualTimer ; 1251.23 ; 14.8956 ; postSmoothTimer ; 2696.77 ; 32.1044 ; commTimer ; 6813.16 ; 7.20207 ; timeToSolveWatch ; 10129.6 ; 10129.6 ;
correctionTimer ; 228.461 ; 2.71978 ; setSolutionTimer ; 10.3775 ; 0.123542 ; cycleWatch ; 9913.58 ; 708.113 ; setupWatch ; 116.191 ; 116.191 ; restrictionTimer ; 736.52 ; 8.7681 ; preSmoothTimer ; 2720.85 ; 32.3911 ; upResidualTimer ; 1256.13 ; 14.954 ; postSmoothTimer ; 2706.04 ; 32.2148 ; commTimer ; 6846.7 ; 7.23752 ; timeToSolveWatch ; 10129.6 ; 10129.6 ;
correctionTimer ; 229.83 ; 2.73607 ; setSolutionTimer ; 10.7247 ; 0.127675 ; cycleWatch ; 9915.69 ; 708.264 ; setupWatch ; 117.674 ; 117.674 ; restrictionTimer ; 734.894 ; 8.74874 ; preSmoothTimer ; 2723.01 ; 32.4167 ; upResidualTimer ; 1255.07 ; 14.9413 ; postSmoothTimer ; 2700.31 ; 32.1465 ; commTimer ; 6832.79 ; 7.22282 ; timeToSolveWatch ; 10129.6 ; 10129.6 ;
correctionTimer ; 228.719 ; 2.72285 ; setSolutionTimer ; 10.4832 ; 0.1248 ; cycleWatch ; 9918.93 ; 708.495 ; setupWatch ; 115.496 ; 115.496 ; restrictionTimer ; 730.68 ; 8.69857 ; preSmoothTimer ; 2725.83 ; 32.4503 ; upResidualTimer ; 1255.01 ; 14.9406 ; postSmoothTimer ; 2709.86 ; 32.2602 ; commTimer ; 6866.28 ; 7.25823 ; timeToSolveWatch ; 10129.6 ; 10129.6 ;
correctionTimer ; 228.97 ; 2.72583 ; setSolutionTimer ; 10.7516 ; 0.127996 ; cycleWatch ; 9919.42 ; 708.53 ; setupWatch ; 115.496 ; 115.496 ; restrictionTimer ; 725.826 ; 8.64079 ; preSmoothTimer ; 2732.69 ; 32.532 ; upResidualTimer ; 1252.52 ; 14.911 ; postSmoothTimer ; 2706.9 ; 32.225 ; commTimer ; 6837.88 ; 7.2282 ; timeToSolveWatch ; 10129.6 ; 10129.6 ;
correctionTimer ; 228.554 ; 2.72088 ; setSolutionTimer ; 10.4265 ; 0.124125 ; cycleWatch ; 9907.59 ; 707.685 ; setupWatch ; 118.814 ; 118.814 ; restrictionTimer ; 735.395 ; 8.7547 ; preSmoothTimer ; 2726.8 ; 32.4619 ; upResidualTimer ; 1250.6 ; 14.888 ; postSmoothTimer ; 2704 ; 32.1905 ; commTimer ; 6856.4 ; 7.24778 ; timeToSolveWatch ; 10129.6 ; 10129.6 ;
correctionTimer ; 228.665 ; 2.7222 ; setSolutionTimer ; 10.7977 ; 0.128544 ; cycleWatch ; 9913.19 ; 708.085 ; setupWatch ; 118.728 ; 118.728 ; restrictionTimer ; 727.908 ; 8.66557 ; preSmoothTimer ; 2732.95 ; 32.5351 ; upResidualTimer ; 1251.48 ; 14.8986 ; postSmoothTimer ; 2702.89 ; 32.1772 ; commTimer ; 6827.97 ; 7.21772 ; timeToSolveWatch ; 10129.6 ; 10129.6 ;
correctionTimer ; 228.915 ; 2.72517 ; setSolutionTimer ; 10.1694 ; 0.121065 ; cycleWatch ; 9911.44 ; 707.96 ; setupWatch ; 120.459 ; 120.459 ; restrictionTimer ; 731.796 ; 8.71186 ; preSmoothTimer ; 2732.26 ; 32.5269 ; upResidualTimer ; 1250.82 ; 14.8907 ; postSmoothTimer ; 2702.15 ; 32.1684 ; commTimer ; 6860.77 ; 7.2524 ; timeToSolveWatch ; 10129.6 ; 10129.6 ;
correctionTimer ; 231.602 ; 2.75716 ; setSolutionTimer ; 11.1983 ; 0.133313 ; cycleWatch ; 9913.91 ; 708.136 ; setupWatch ; 120.459 ; 120.459 ; restrictionTimer ; 729.636 ; 8.68614 ; preSmoothTimer ; 2738.32 ; 32.599 ; upResidualTimer ; 1246.93 ; 14.8444 ; postSmoothTimer ; 2699.33 ; 32.1349 ; commTimer ; 6818.66 ; 7.20788 ; timeToSolveWatch ; 10129.6 ; 10129.6 ;
correctionTimer ; 228.433 ; 2.71944 ; setSolutionTimer ; 10.5453 ; 0.125539 ; cycleWatch ; 9908.86 ; 707.775 ; setupWatch ; 117.992 ; 117.992 ; restrictionTimer ; 733.999 ; 8.73808 ; preSmoothTimer ; 2728.52 ; 32.4824 ; upResidualTimer ; 1252.66 ; 14.9126 ; postSmoothTimer ; 2698.99 ; 32.1308 ; commTimer ; 6853.75 ; 7.24498 ; timeToSolveWatch ; 10129.6 ; 10129.6 ;
correctionTimer ; 229.623 ; 2.7336 ; setSolutionTimer ; 10.7403 ; 0.127861 ; cycleWatch ; 9914.98 ; 708.213 ; setupWatch ; 118.009 ; 118.009 ; restrictionTimer ; 728.837 ; 8.67664 ; preSmoothTimer ; 2736.37 ; 32.5758 ; upResidualTimer ; 1250.33 ; 14.8849 ; postSmoothTimer ; 2701.28 ; 32.1581 ; commTimer ; 6823.01 ; 7.21249 ; timeToSolveWatch ; 10129.6 ; 10129.6 ;
correctionTimer ; 228.558 ; 2.72093 ; setSolutionTimer ; 10.8727 ; 0.129437 ; cycleWatch ; 9910.11 ; 707.865 ; setupWatch ; 119.556 ; 119.556 ; restrictionTimer ; 733.58 ; 8.73309 ; preSmoothTimer ; 2726.18 ; 32.4545 ; upResidualTimer ; 1254.41 ; 14.9335 ; postSmoothTimer ; 2698.66 ; 32.1269 ; commTimer ; 6840.97 ; 7.23147 ; timeToSolveWatch ; 10129.6 ; 10129.6 ;
correctionTimer ; 231.491 ; 2.75585 ; setSolutionTimer ; 10.7994 ; 0.128565 ; cycleWatch ; 9909.65 ; 707.832 ; setupWatch ; 119.556 ; 119.556 ; restrictionTimer ; 734.475 ; 8.74375 ; preSmoothTimer ; 2725.78 ; 32.4498 ; upResidualTimer ; 1255.28 ; 14.9438 ; postSmoothTimer ; 2697.82 ; 32.1169 ; commTimer ; 6810.11 ; 7.19885 ; timeToSolveWatch ; 10129.6 ; 10129.6 ;
